percentile;dams;milp_obj;milp_time;milp_gap;rf_obj;rf_time;milp_trf_obj;milp_trf_time;milp_trf_gap
P50;7 DAM;19655.83;900.0;8.52%;19753.5;270.46;13928.21;270.0;54.80%
P50;8 DAM;20043.01;900.0;17.87%;21872.6;299.43;13795.55;299.0;73.10%
P50;9 DAM;16875.41;900.0;53.48%;23917.88;331.07;14677.46;331.0;79.00%
P50;10 DAM;16298.37;900.0;83.29%;27213.72;413.54;13809.01;414.0;119.00%
P50;11 DAM;8634.53;900.0;273.87%;29665.05;513.56;8506.09;514.0;283.00%
P50;12 DAM;15259.71;900.0;140.55%;32893.94;838.09;15259.71;838.0;141.00%
P40;2 DAM;29570.85;900.0;1.14%;28765.78;29.17;28788.01;29.0;4.92%
P40;3 DAM;59748.7;900.0;2.05%;59058.17;84.04;56285.37;84.0;8.64%
P40;4 DAM;91394.83;900.0;1.92%;91164.17;110.64;59544.53;111.0;56.90%
P40;5 DAM;108693.81;900.0;2.03%;108629.37;127.14;99987.44;127.0;11.10%
P40;6 DAM;127999.55;900.0;1.83%;127885.83;161.65;68629.08;162.0;90.20%
P40;7 DAM;160099.97;900.0;2.48%;161128.0;245.92;71422.25;246.0;130.00%
P40;8 DAM;179242.53;900.0;1.82%;179524.89;312.28;171058.25;312.0;6.82%
P40;9 DAM;198047.49;900.0;2.37%;199433.95;384.96;132712.84;385.0;52.90%
P40;10 DAM;229445.4;900.0;3.14%;233093.28;668.75;227202.46;669.0;4.17%
P40;11 DAM;250635.96;900.0;1.86%;251538.58;636.17;164889.59;636.0;54.90%
P40;12 DAM;171479.98;900.0;68.40%;284569.17;861.13;168162.87;861.0;71.70%
P30;2 DAM;21571.14;900.0;1.81%;21321.61;33.54;21196.1;34.0;4.71%
P30;3 DAM;40525.05;900.0;4.10%;40135.14;69.38;28958.57;69.0;46.10%
P30;4 DAM;61623.66;900.0;5.48%;60336.29;130.34;56683.3;130.0;14.90%
P30;5 DAM;74264.43;900.0;4.66%;73111.32;180.81;54544.16;182.0;42.70%
